"time"	"x1"	"x2"
"89"	8.8	-13.0036985246112	27.0548288347814
"90"	8.9	-10.3497122582548	28.2072875717149
"91"	9	-7.55277092497841	28.9966763526223
"92"	9.1	-4.69240247151453	29.551450340216
"93"	9.2	-1.7730529218498	29.7882823327859
"94"	9.3	1.17905817169359	29.8435929870815
"95"	9.4	4.13116968095257	29.8989006617658
"96"	9.5	7.08328171214768	29.9542045077827
"97"	9.6	10.0353944055753	30.0095032693566
"98"	9.7	12.987508047407	30.0647941958754
"99"	9.8	15.9396222131618	30.1200806811206
"100"	9.9	18.8917382951138	30.1753509562373
"101"	10	21.8438570959961	30.2305983447617
"102"	10.1	24.7936611922022	29.0720915680122
"103"	10.2	27.6774672967377	26.2874491373973
"104"	10.3	30.4646495021008	23.4035301071691
"105"	10.4	32.8683862224827	20.1851257155987
"106"	10.5	34.8571265374675	16.6843127759928
"107"	10.6	36.5564606770057	13.0471460213745
"108"	10.7	37.8179885463308	9.27480104887609
"109"	10.8	38.7322676537156	5.43723186164372
"110"	10.9	39.2447197409463	1.50525868063351
"111"	11	39.4570124217595	-2.42379848625689
"112"	11.1	39.152257895845	-6.28663660598695
"113"	11.2	38.6361571370333	-10.1365988979558
"114"	11.3	37.7576436682286	-13.9310235120319
"115"	11.4	36.2193832197197	-17.5747400411844
"116"	11.5	34.1980930835788	-21.1097515144549
"117"	11.6	31.8810439179795	-24.4192091355042
"118"	11.7	29.4591165060131	-27.3836935473156
"119"	11.8	26.799795191028	-30.1324166962846
"120"	11.9	23.9086904569053	-32.6265530525981
"121"	12	20.6099536353172	-34.5111379893231
"122"	12.1	17.1433621448604	-36.1688413264032
"123"	12.2	13.6234039220651	-37.7363273151109
"124"	12.3	9.85519639831562	-38.7781254494631
"125"	12.4	5.97855123360555	-39.4569724670453
"126"	12.5	2.03980282870556	-39.6626798732128
"127"	12.6	-1.91854477299442	-39.5918584317962
"128"	12.7	-5.85689234170457	-38.9618188042045
"129"	12.8	-9.71195819130334	-37.9346592661172
"130"	12.9	-13.5000507232663	-36.2731162383788
"131"	13	-17.0934796739864	-34.5397987267338
"132"	13.1	-20.5032680568041	-32.4567596783473
"133"	13.2	-23.7311451393725	-30.0607965818342
"134"	13.3	-26.7685347765058	-27.4249839627888
"135"	13.4	-29.5282366847502	-24.4682174732172
"136"	13.5	-31.8724857898581	-21.2040675548851
"137"	13.6	-34.02384854098	-17.8346508543398
"138"	13.7	-35.860259353516	-14.2509765415078
